longitude;latitude;study_area_size;exact_location;year_pub;study_ID
-5;41;NA;N;2007;1
-92;48;6070;Y;1971;2
-92;48;NA;Y;1991;3
29;64;15000;N;2009;5
-124;57;373000;N;2017;6
-95;48;2700;Y;1981;8
-18;64;1175000;Y;2007;9
-153;68;24700;Y;2010;10
-93;47;839;Y;1989;11
-115;50;10000;N;1999;12
-128;62;23000;Y;2000;13
-133;55;9344;Y;2010;14
-115;50;NA;N;1997;15
-112;46;266400;N;2010;16
-150;60;26000;Y;1984;17
-150;60;61600;N;1987;18
29;64;15000;N;2006;19
-115;52;25000;Y;2011;20
117;50;NA;Y;2020;21
7;44;4000;N;2009;22
-147;64;17060;N;1983;23
-146;62;NA;Y;1983;24
-92;48;NA;N;1985;25
-95;48;NA;N;1985;25
-88;48;544;N;1988;26
-159;67;12280;N;1997;27
-75;46;1667;N;1988;28
10.240556;44.31833;NA;N;2009;29
13;51;NA;N;2019;30
12;46;NA;Y;2016;31
34;30;600;N;1999;32
24;53;1250;Y;1999;33
-95;48;NA;N;1983;34
-92;48;NA;N;1983;34
-92;48;NA;N;1975;35
18;64;837000;Y;2001;36
-98;51;NA;N;1983;38
-112;58;25000;N;1980;39
14;42;NA;Y;2018;40
7;44;NA;N;2022;41
10;51;NA;Y;2021;42
11;44;19171;Y;2014;43
